origen_iata,origen_lat,origen_lon,dest_iata,dest_lat,dest_lon
MAD,40.4722,-3.5608,SFO,37.6213,-122.3790
MAD,40.4722,-3.5608,EZE,-34.8222,-58.5358
MAD,40.4722,-3.5608,NRT,35.7720,140.3929
LHR,51.4700,-0.4543,GRU,-23.4356,-46.4731
LHR,51.4700,-0.4543,MIA,25.7959,-80.2871
CDG,49.0097,2.5479,SYD,-33.9399,151.1753
CDG,49.0097,2.5479,MEX,19.4361,-99.0719
FRA,50.0379,8.5622,JNB,-26.1337,28.2420
FRA,50.0379,8.5622,ICN,37.4602,126.4407
AMS,52.3105,4.7683,HND,35.5494,139.7798
AMS,52.3105,4.7683,GRU,-23.4356,-46.4731
BCN,41.2974,2.0833,LAX,33.9416,-118.4085
BCN,41.2974,2.0833,IST,40.9760,28.8146
AGP,36.6749,-4.4991,ZRH,47.4581,8.5555
LAX,33.9416,-118.4085,DOH,25.2731,51.6081
LAX,33.9416,-118.4085,JNB,-26.1337,28.2420
JFK,40.6413,-73.7781,DUB,53.4213,-6.2701
JFK,40.6413,-73.7781,DOH,25.2731,51.6081
EZE,-34.8222,-58.5358,MIA,25.7959,-80.2871
EZE,-34.8222,-58.5358,MAD,40.4722,-3.5608
SCL,-33.3929,-70.7858,YYZ,43.6777,-79.6248
NRT,35.7720,140.3929,SFO,37.6213,-122.3790
ICN,37.4602,126.4407,MEL,-37.6733,144.8430
HND,35.5494,139.7798,SIN,1.3502,103.9940
SYD,-33.9399,151.1753,ICN,37.4602,126.4407
DOH,25.2731,51.6081,YUL,45.4706,-73.7408
